NAME,STATE,FIPS,DAI Score
Autauga County,Alabama,1001,26.3
Baldwin County,Alabama,1003,20.4
Barbour County,Alabama,1005,42.2
Bibb County,Alabama,1007,17.5
Blount County,Alabama,1009,9.1
Bullock County,Alabama,1011,72.6
Butler County,Alabama,1013,38.3
Calhoun County,Alabama,1015,27.1
Chambers County,Alabama,1017,37.9
Cherokee County,Alabama,1019,11.9
Chilton County,Alabama,1021,13.7
Choctaw County,Alabama,1023,37.8
Clarke County,Alabama,1025,41.2
Clay County,Alabama,1027,14.7
Cleburne County,Alabama,1029,7.9
Coffee County,Alabama,1031,20.6
Colbert County,Alabama,1033,26.3
Conecuh County,Alabama,1035,42.6
Coosa County,Alabama,1037,28.1
Covington County,Alabama,1039,13.5
Crenshaw County,Alabama,1041,22.5
Cullman County,Alabama,1043,9.4
Dale County,Alabama,1045,23.4
Dallas County,Alabama,1047,65.8
DeKalb County,Alabama,1049,12.7
Elmore County,Alabama,1051,23.5
Escambia County,Alabama,1053,26.5
Etowah County,Alabama,1055,21.7
Fayette County,Alabama,1057,13.6
Franklin County,Alabama,1059,13
Geneva County,Alabama,1061,11.2
Greene County,Alabama,1063,77.6
Hale County,Alabama,1065,53
Henry County,Alabama,1067,24.3
Houston County,Alabama,1069,25.6
Jackson County,Alabama,1071,13.9
Jefferson County,Alabama,1073,54.3
Lamar County,Alabama,1075,11.7
Lauderdale County,Alabama,1077,23.7
Lawrence County,Alabama,1079,18.5
Lee County,Alabama,1081,35.3
Limestone County,Alabama,1083,27.3
Lowndes County,Alabama,1085,68.4
Macon County,Alabama,1087,77.7
Madison County,Alabama,1089,44.4
Marengo County,Alabama,1091,47.8
Marion County,Alabama,1093,8.8
Marshall County,Alabama,1095,13.7
Mobile County,Alabama,1097,41.1
Monroe County,Alabama,1099,38.1
Montgomery County,Alabama,1101,64.5
Morgan County,Alabama,1103,23.1
Perry County,Alabama,1105,71.1
Pickens County,Alabama,1107,38
Pike County,Alabama,1109,37
Randolph County,Alabama,1111,17.3
Russell County,Alabama,1113,50.3
Shelby County,Alabama,1117,28.8
St. Clair County,Alabama,1115,17.6
Sumter County,Alabama,1119,70.2
Talladega County,Alabama,1121,32.8
Tallapoosa County,Alabama,1123,24.8
Tuscaloosa County,Alabama,1125,39.2
Walker County,Alabama,1127,13.8
Washington County,Alabama,1129,22.1
Wilcox County,Alabama,1131,65.5
Winston County,Alabama,1133,7.9
Apache County,Arizona,4001,58.8
Cochise County,Arizona,4003,37.7
Coconino County,Arizona,4005,59
Gila County,Arizona,4007,30.7
Graham County,Arizona,4009,25.4
Greenlee County,Arizona,4011,28.8
La Paz County,Arizona,4012,27.5
Maricopa County,Arizona,4013,47.5
Mohave County,Arizona,4015,21.8
Navajo County,Arizona,4017,40.8
Pima County,Arizona,4019,56.8
Pinal County,Arizona,4021,38.4
Santa Cruz County,Arizona,4023,58.8
Yavapai County,Arizona,4025,32.6
Yuma County,Arizona,4027,39.3
Arkansas County,Arkansas,5001,27.1
Ashley County,Arkansas,5003,25.2
Baxter County,Arkansas,5005,20.7
Benton County,Arkansas,5007,35.2
Boone County,Arkansas,5009,16.7
Bradley County,Arkansas,5011,29.9
Calhoun County,Arkansas,5013,18.1
Carroll County,Arkansas,5015,33
Chicot County,Arkansas,5017,51.5
Clark County,Arkansas,5019,38.6
Clay County,Arkansas,5021,18.3
Cleburne County,Arkansas,5023,15.2
Cleveland County,Arkansas,5025,15.4
Columbia County,Arkansas,5027,31.1
Conway County,Arkansas,5029,28.7
Craighead County,Arkansas,5031,30.1
Crawford County,Arkansas,5033,19.9
Crittenden County,Arkansas,5035,50.1
Cross County,Arkansas,5037,25.1
Dallas County,Arkansas,5039,34.3
Desha County,Arkansas,5041,46.7
Drew County,Arkansas,5043,32.2
Faulkner County,Arkansas,5045,32.6
Franklin County,Arkansas,5047,17.7
Fulton County,Arkansas,5049,18
Garland County,Arkansas,5051,30.7
Grant County,Arkansas,5053,14.8
Greene County,Arkansas,5055,18.6
Hempstead County,Arkansas,5057,29.2
Hot Spring County,Arkansas,5059,22.9
Howard County,Arkansas,5061,25.9
Independence County,Arkansas,5063,19.2
Izard County,Arkansas,5065,16
Jackson County,Arkansas,5067,24.8
Jefferson County,Arkansas,5069,59.2
Johnson County,Arkansas,5071,23.3
Lafayette County,Arkansas,5073,30
Lawrence County,Arkansas,5075,17
Lee County,Arkansas,5077,50.4
Lincoln County,Arkansas,5079,24.1
Little River County,Arkansas,5081,22.1
Logan County,Arkansas,5083,17.8
Lonoke County,Arkansas,5085,22.2
Madison County,Arkansas,5087,19.9
Marion County,Arkansas,5089,19.1
Miller County,Arkansas,5091,23.8
Mississippi County,Arkansas,5093,33.3
Monroe County,Arkansas,5095,41.2
Montgomery County,Arkansas,5097,17.4
Nevada County,Arkansas,5099,29.2
Newton County,Arkansas,5101,17.1
Ouachita County,Arkansas,5103,39.6
Perry County,Arkansas,5105,20.1
Phillips County,Arkansas,5107,55.8
Pike County,Arkansas,5109,12.8
Poinsett County,Arkansas,5111,17.4
Polk County,Arkansas,5113,13.8
Pope County,Arkansas,5115,22.7
Prairie County,Arkansas,5117,16.4
Pulaski County,Arkansas,5119,59.8
Randolph County,Arkansas,5121,17.1
Saline County,Arkansas,5125,28.8
Scott County,Arkansas,5127,12.6
Searcy County,Arkansas,5129,13.2
Sebastian County,Arkansas,5131,30
Sevier County,Arkansas,5133,18.3
Sharp County,Arkansas,5135,17.7
St. Francis County,Arkansas,5123,49.4
Stone County,Arkansas,5137,18.1
Union County,Arkansas,5139,32.5
Van Buren County,Arkansas,5141,18.9
Washington County,Arkansas,5143,45.1
White County,Arkansas,5145,18.3
Woodruff County,Arkansas,5147,32.8
Yell County,Arkansas,5149,18.7
Alameda County,California,6001,74.6
Alpine County,California,6003,64.4
Amador County,California,6005,34.5
Butte County,California,6007,46.8
Calaveras County,California,6009,34.7
Colusa County,California,6011,34.6
Contra Costa County,California,6013,67.3
Del Norte County,California,6015,40.4
El Dorado County,California,6017,42.6
Fresno County,California,6019,46.5
Glenn County,California,6021,31.2
Humboldt County,California,6023,61.6
Imperial County,California,6025,48.3
Inyo County,California,6027,46.9
Kern County,California,6029,38.2
Kings County,California,6031,37.4
Lake County,California,6033,47.6
Lassen County,California,6035,21.7
Los Angeles County,California,6037,64.8
Madera County,California,6039,38.4
Marin County,California,6041,80.6
Mariposa County,California,6043,38.1
Mendocino County,California,6045,61.3
Merced County,California,6047,46.4
Modoc County,California,6049,25
Mono County,California,6051,58.1
Monterey County,California,6053,63.4
Napa County,California,6055,65.9
Nevada County,California,6057,54.4
Orange County,California,6059,49.7
Placer County,California,6061,44.3
Plumas County,California,6063,39.9
Riverside County,California,6065,48
Sacramento County,California,6067,58.1
San Benito County,California,6069,54.9
San Bernardino County,California,6071,47.5
San Diego County,California,6073,56.9
San Francisco County,California,6075,80.3
San Joaquin County,California,6077,47.8
San Luis Obispo County,California,6079,53.9
San Mateo County,California,6081,73.5
Santa Barbara County,California,6083,61.5
Santa Clara County,California,6085,68
Santa Cruz County,California,6087,74.8
Shasta County,California,6089,30.5
Sierra County,California,6091,36.5
Siskiyou County,California,6093,38.7
Solano County,California,6095,59.8
Sonoma County,California,6097,71.4
Stanislaus County,California,6099,43
Sutter County,California,6101,33.1
Tehama County,California,6103,27.9
Trinity County,California,6105,43.1
Tulare County,California,6107,38.5
Tuolumne County,California,6109,37.9
Ventura County,California,6111,56.1
Yolo County,California,6113,66.3
Yuba County,California,6115,35.7
Adams County,Colorado,8001,53.1
Alamosa County,Colorado,8003,43.1
Arapahoe County,Colorado,8005,58.6
Archuleta County,Colorado,8007,41.7
Baca County,Colorado,8009,13.7
Bent County,Colorado,8011,29.5
Boulder County,Colorado,8013,76.5
Broomfield County,Colorado,8014,62.8
Chaffee County,Colorado,8015,55.4
Cheyenne County,Colorado,8017,10.2
Clear Creek County,Colorado,8019,56.8
Conejos County,Colorado,8021,39.6
Costilla County,Colorado,8023,55.5
Crowley County,Colorado,8025,24.7
Custer County,Colorado,8027,30.7
Delta County,Colorado,8029,31
Denver County,Colorado,8031,76.6
Dolores County,Colorado,8033,22.9
